%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
18.0, -41915.53347295922, -42523.38916342129, -45145.785229895744, -59532.21732762067, -33247.72813889124, -12994.90189491533, -33179.35415260246, -19076.409229804187, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69816794691552E9, 0.0, 2023-10-24 14:19:06.915
19.0, -42321.06117261186, -48641.35219351676, -47122.41704731191, -60024.98388588237, -33299.04774416063, -18854.12113119616, -31240.720300760306, -17212.318445720488, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69816794691856E9, 0.0, 2023-10-24 14:19:06.918
20.0, -43048.655158121015, -49340.984146712326, -46967.60886521445, -60317.09883416878, -32851.051730042906, -19203.8812284328, -30700.143361108705, -16675.87657879312, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469245818E9, 0.0, 2023-10-24 14:19:06.924
21.0, -42752.874523743936, -43653.158086914795, -45121.35477320609, -59883.45263999137, -32738.62245543271, -13745.451121980086, -32458.175117751973, -18362.136883990395, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469275408E9, 0.0, 2023-10-24 14:19:06.927
22.0, -41955.408985067486, -41853.50738209574, -44894.395160006905, -59492.83355389042, -33119.85380886243, -12339.571099230183, -33303.38398258495, -19194.314681805932, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469345975E9, 0.0, 2023-10-24 14:19:06.934
23.0, -42152.97605430795, -47632.461504037565, -46814.74528488461, -59869.393392728976, -33280.24992707371, -17943.60046906477, -31550.80605158878, -17522.359493060052, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69816794693463E9, 0.0, 2023-10-24 14:19:06.934
24.0, -42996.977924940344, -49910.14896752226, -47198.99412381579, -60285.04643261986, -32875.4598349881, -19801.83509610118, -30537.7579376409, -16528.8021002772, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469386568E9, 0.0, 2023-10-24 14:19:06.938
25.0, -42944.80895338165, -44755.65788217281, -45373.72831985096, -59950.86550126857, -32674.74116977944, -14706.57613355829, -32075.267383488106, -17991.23203649903, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469426572E9, 0.0, 2023-10-24 14:19:06.942
26.0, -42054.47191649341, -41483.00486600457, -44668.32961658593, -59451.70634409265, -33011.93958663221, -11858.785075996528, -33360.2244687348, -19244.024961474533, -0.34400000000000003, -0.082, 0.808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469465635E9, 0.0, 2023-10-24 14:19:06.946
27.0, -41983.61688657008, -46485.34762684675, -46459.374899789684, -59719.86022232297, -33265.94481062231, -16814.077414760282, -31914.69245132118, -17858.753247112425, -0.362, -0.084, 0.868, 192.0, 244.0, 176.0, 253.0, 96.0, 27.0, 32.0, 0.0, 0.0, 0.0, 1.698167946951605E9, 0.0, 2023-10-24 14:19:06.951
28.0, -42867.00253093273, -50193.81495640457, -47377.293989335776, -60245.416789700605, -32933.887294994274, -20122.56027729038, -30486.70655330498, -16468.74296292579, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469549234E9, 0.0, 2023-10-24 14:19:06.954
29.0, -42979.38710205402, -45818.48333102266, -45744.87903653134, -60020.55824048022, -32619.733526674932, -15762.78546604937, -31680.490872918475, -17593.43804042793, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469576108E9, 0.0, 2023-10-24 14:19:06.957
30.0, -42201.81461594279, -41420.95642339664, -44553.642815785744, -59490.8442486339, -32880.98071586856, -11751.630813077785, -33287.49189227723, -19153.858024341826, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469625793E9, 0.0, 2023-10-24 14:19:06.962
31.0, -41905.564594932155, -45311.054028398285, -46109.6818577864, -59607.34154073495, -33226.33751944751, -15771.323832431297, -32265.324266591582, -18211.55318159499, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469665928E9, 0.0, 2023-10-24 14:19:06.966
32.0, -42664.87570582339, -50182.393214987904, -47428.1442079716, -60180.23910286893, -32998.81911263694, -20248.266488107027, -30552.33127502576, -16555.64654536802, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469706705E9, 0.0, 2023-10-24 14:19:06.970
33.0, -43010.14310242452, -46902.83350978298, -46061.33503452958, -60093.49198263788, -32614.279701027837, -16848.230880287992, -31331.937769882414, -17273.115190638924, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469746644E9, 0.0, 2023-10-24 14:19:06.974
34.0, -42265.114756240226, -41606.85588203143, -44542.466943558094, -59497.97445511514, -32752.480536995, -11932.389370487854, -33110.130800024366, -18988.633929328196, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946978607E9, 0.0, 2023-10-24 14:19:06.978
35.0, -41818.90688167893, -44130.88192115807, -45595.8152527589, -59480.42833571772, -33146.38532953088, -14594.772707792845, -32568.659790594556, -18488.960682029807, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469817116E9, 0.0, 2023-10-24 14:19:06.981
36.0, -42527.59129137889, -49867.814763523915, -47371.2813700773, -60127.220765020946, -33066.0531599585, -19943.05341756981, -30704.345489066305, -16690.136991755604, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469856348E9, 0.0, 2023-10-24 14:19:06.985
37.0, -43127.91444395953, -47978.55591518354, -46440.95706235851, -60242.555766410325, -32678.94329773704, -17837.228517201962, -31068.120130076426, -17011.97976016757, -0.362, -0.084, 0.868, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469906623E9, 0.0, 2023-10-24 14:19:06.990
38.0, -42403.09207476283, -42173.71847316247, -44652.281064067014, -59600.83718309846, -32684.151254195127, -12418.092777501677, -32886.38983802674, -18777.14172329208, -0.376, -0.092, 0.892, 192.0, 244.0, 64.0, 253.0, 32.0, 27.0, 224.0, 0.0, 0.0, 0.0, 1.6981679469946194E9, 0.0, 2023-10-24 14:19:06.994
39.0, -41765.77678510866, -43076.66189392351, -45310.87521444264, -59435.50132936255, -33095.95979403971, -13618.672027429586, -32867.346151750826, -18776.3817639806, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679469986384E9, 0.0, 2023-10-24 14:19:06.998
40.0, -42399.605202627805, -49250.169008990415, -47244.43522029343, -60059.383220599084, -33154.14138485687, -19388.372527166906, -30981.730637756664, -16958.69320138612, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470026295E9, 0.0, 2023-10-24 14:19:07.002
41.0, -43102.79108319177, -48882.46046095616, -46787.09617699339, -60283.05712736335, -32732.2745600074, -18711.47229808239, -30820.976891634094, -16787.590597580744, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470056396E9, 0.0, 2023-10-24 14:19:07.005
42.0, -42633.82913277497, -42979.47650903184, -44888.91898261535, -59726.36457995947, -32621.856942398186, -13120.719864454255, -32588.82106409324, -18479.349431914026, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470096903E9, 0.0, 2023-10-24 14:19:07.009
43.0, -41856.52486759721, -42218.64547951764, -44963.48440211826, -59357.13611330225, -32980.647144394774, -12678.98233878402, -33051.23395338463, -18944.377475306686, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470154648E9, 0.0, 2023-10-24 14:19:07.015
44.0, -42282.50441342645, -48374.33825425366, -47020.046057706604, -59919.55070728668, -33174.52617580011, -18512.497068941244, -31289.603565884063, -17269.449504548254, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947018653E9, 0.0, 2023-10-24 14:19:07.018
45.0, -43105.94267915996, -49638.35175494573, -47109.63184948348, -60352.21342470806, -32843.295674716916, -19391.479419646195, -30720.46109681858, -16694.674395880033, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947022689E9, 0.0, 2023-10-24 14:19:07.022
46.0, -42756.003767967675, -43935.572378107594, -45138.31974724767, -59832.75888356673, -32600.153398532082, -13937.676124295727, -32308.954871768343, -18201.539600079013, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947026781E9, 0.0, 2023-10-24 14:19:07.026
47.0, -41802.05366635963, -41512.799741363495, -44647.20721807566, -59279.26263561996, -32857.71254989059, -11944.995754360647, -33178.571841546516, -19059.82423541835, -0.376, -0.092, 0.892, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470297165E9, 0.0, 2023-10-24 14:19:07.029
48.0, -42014.618756129596, -47184.21962073084, -46638.12180019877, -59781.84160969754, -33168.826480964, -17423.609486056506, -31656.976837751492, -17616.66150291699, -0.386, -0.092, 0.908, 192.0, 243.0, 240.0, 253.0, 32.0, 28.0, 96.0, 0.0, 0.0, 0.0, 1.6981679470337226E9, 0.0, 2023-10-24 14:19:07.033
49.0, -43015.9545559829, -50122.065856703026, -47373.784765456294, -60430.466882046094, -32960.441167407174, -19908.36351017517, -30681.323192277338, -16655.35767738315, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947037775E9, 0.0, 2023-10-24 14:19:07.037
50.0, -42931.97905206431, -45078.14885117398, -45501.80381557987, -60010.34349326414, -32642.353492063703, -15009.01758778305, -32003.09360064192, -17915.996064662464, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947041787E9, 0.0, 2023-10-24 14:19:07.041
51.0, -41886.900888311975, -41168.73933896296, -44444.00750923246, -59273.65234776168, -32767.612667991245, -11616.223945167536, -33205.10336221497, -19093.664776523685, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470457625E9, 0.0, 2023-10-24 14:19:07.045
52.0, -41862.559838600144, -45956.885332689926, -46263.081879983176, -59589.84012482645, -33139.56804747201, -16316.482879696237, -31992.99061214812, -17943.06402719784, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947050812E9, 0.0, 2023-10-24 14:19:07.050
53.0, -42923.10540951555, -50354.99338567178, -47519.83106372727, -60359.70125910059, -33059.928781977746, -20190.15195252323, -30694.26485231696, -16675.563654370744, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470547485E9, 0.0, 2023-10-24 14:19:07.054
54.0, -43126.64039452558, -46257.5162956138, -45949.08457387502, -60170.47139054196, -32715.80132434384, -16130.76223501709, -31744.103937638276, -17668.472846564397, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947057758E9, 0.0, 2023-10-24 14:19:07.057
55.0, -42088.647733765574, -41252.08899403679, -44399.147558110664, -59392.98831140856, -32733.034519318884, -11582.472811040023, -33228.63974912641, -19093.843590479326, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470617228E9, 0.0, 2023-10-24 14:19:07.061
56.0, -41773.845764857026, -44782.09999586344, -45842.444401078756, -59472.26994899153, -33110.80135235803, -15151.152330774348, -32361.68263693841, -18294.09817386844, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470657425E9, 0.0, 2023-10-24 14:19:07.065
57.0, -42782.26706770266, -50250.18605592085, -47557.76197406793, -60298.32336882632, -33140.86444865041, -20117.687596999123, -30780.408475447715, -16776.928815475563, -0.386, -0.092, 0.908, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470697684E9, 0.0, 2023-10-24 14:19:07.069
58.0, -43194.902622092086, -47365.00052988536, -46330.49474126038, -60292.44486003457, -32762.15884234415, -17124.364331288856, -31442.13187004708, -17378.1013343455, -0.382, -0.094, 0.912, 192.0, 244.0, 16.0, 253.0, 16.0, 28.0, 128.0, 0.0, 0.0, 0.0, 1.6981679470747468E9, 0.0, 2023-10-24 14:19:07.074
59.0, -42297.48008221151, -41629.16292299783, -44524.1608648492, -59534.43015032174, -32694.32129792229, -11857.48867481812, -33098.664355118795, -18957.006210923937, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470787532E9, 0.0, 2023-10-24 14:19:07.078
60.0, -41775.32097999108, -43630.02403140355, -45433.116904868715, -59429.62282057081, -33070.09882570491, -14055.31335536401, -32705.586577127768, -18603.06633747415, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470827658E9, 0.0, 2023-10-24 14:19:07.082
61.0, -42669.72603437019, -49824.78765544744, -47493.29954305882, -60241.46053093202, -33231.47842067223, -19786.144171493554, -31002.22718742218, -16977.625128939766, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947085771E9, 0.0, 2023-10-24 14:19:07.085
62.0, -43234.241692333424, -48453.30696741426, -46746.25953987355, -60354.828578809334, -32857.08670104584, -18196.26458838756, -31208.98082363377, -17159.903604972795, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470948617E9, 0.0, 2023-10-24 14:19:07.094
63.0, -42518.29296568548, -42378.46045237308, -44795.42163555881, -59611.67777915928, -32690.968536253997, -12575.9184451006, -32887.61918397179, -18765.65292664205, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679470950325E9, 0.0, 2023-10-24 14:19:07.095
64.0, -41765.039177541636, -42653.163391728805, -45134.72111639036, -59313.058473236386, -33018.93568264672, -13163.32228938607, -32961.24583020757, -18857.92092775356, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947097772E9, 0.0, 2023-10-24 14:19:07.097
65.0, -42405.52841490846, -49017.576756188486, -47259.88027571205, -60075.14120044008, -33244.73300513423, -19124.17490770518, -31233.90301870144, -17198.661529858295, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947101756E9, 0.0, 2023-10-24 14:19:07.101
66.0, -43261.01908219088, -49269.83854411108, -47128.18379738138, -60481.18299021519, -32963.41394941973, -19071.067162879368, -31050.23873451218, -17001.07210887338, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679471071556E9, 0.0, 2023-10-24 14:19:07.107
67.0, -42700.68320044079, -43222.998764872405, -44979.06356800361, -59805.17683090888, -32687.369905396692, -13364.286823783736, -32648.83549795574, -18518.107356799526, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679471107967E9, 0.0, 2023-10-24 14:19:07.110
68.0, -41764.52508741916, -41799.863195403006, -44717.14582647632, -59279.30733910887, -32922.57731229989, -12319.029846075755, -33159.416396548324, -19020.865144832747, -0.382, -0.094, 0.912, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167947113825E9, 0.0, 2023-10-24 14:19:07.113
69.0, -42182.41330175559, -47985.440252475775, -46965.6866151913, -59894.404994774464, -33247.19169702431, -18217.45404213119, -31535.830382803728, -17490.28473976669, -0.386, -0.092, 0.916, 192.0, 243.0, 240.0, 253.0, 32.0, 28.0, 160.0, 0.0, 0.0, 0.0, 1.698167947117781E9, 0.0, 2023-10-24 14:19:07.117
70.0, -43203.150415796095, -49944.68241270571, -47367.2804078198, -60502.66301663673, -33042.71793874716, -19737.685589514447, -30907.724011865143, -16858.155054826148, -0.386, -0.092, 0.916, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679471218293E9, 0.0, 2023-10-24 14:19:07.121
