%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -42798.51678592167, -44237.00800383187, -45168.53930575124, -59895.455526763864, -32719.80228660134, -14280.998919129244, -32173.995038747198, -18069.19492115914, -0.196, -0.05, 0.466, 192.0, 249.0, 224.0, 254.0, 112.0, 14.0, 144.0, 0.0, 0.0, 0.0, 1.6981679468456593E9, 0.0, 2023-10-24 14:19:06.845
1.0, -41932.34198478961, -41407.23245230108, -44644.390898274294, -59456.31080345045, -33107.44859068973, -11864.328308621443, -33371.109768284536, -19232.46910959114, -0.196, -0.05, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69816794684868E9, 0.0, 2023-10-24 14:19:06.848
2.0, -41978.49833708982, -46739.46460955914, -46551.240569500995, -59803.07576693008, -33349.04859650715, -17117.882325396815, -31813.9084355722, -17754.974097606435, -0.196, -0.05, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946852452E9, 0.0, 2023-10-24 14:19:06.852
3.0, -42865.30379835413, -50087.28654233057, -47293.87727902857, -60280.5760837288, -33009.324432530935, -20018.87053476221, -30501.481056389937, -16498.403727817982, -0.196, -0.05, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468554437E9, 0.0, 2023-10-24 14:19:06.855
4.0, -42904.59816510656, -45372.18604948355, -45565.70745297759, -59978.13462950404, -32709.498132407443, -15356.475455340798, -31795.512949885484, -17736.46685319744, -0.196, -0.05, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946858457E9, 0.0, 2023-10-24 14:19:06.858
5.0, -42050.80623040274, -41238.610892130244, -44462.17947747463, -59449.56057662494, -32990.660725910755, -11613.117052688249, -33331.43542187636, -19219.393339084785, -0.196, -0.05, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468624313E9, 0.0, 2023-10-24 14:19:06.862
6.0, -41884.41984467743, -45565.08160413284, -46187.86825989107, -59658.459980304244, -33338.78914580216, -16012.432099870695, -32187.450788909293, -18151.561099476945, -0.196, -0.05, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468674493E9, 0.0, 2023-10-24 14:19:06.867
7.0, -42758.12718369093, -50186.61769468996, -47438.85069356569, -60241.237013487465, -33093.4116951718, -20211.162592311215, -30541.24480977593, -16563.179083249463, -0.296, -0.068, 0.7000000000000001, 192.0, 246.0, 192.0, 253.0, 224.0, 21.0, 224.0, 0.0, 0.0, 0.0, 1.6981679468704865E9, 0.0, 2023-10-24 14:19:06.870
8.0, -43061.84268734964, -46542.6351478857, -45976.21959164376, -60131.98168658993, -32742.645769434665, -16447.35234348206, -31481.73916122188, -17429.64445705944, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468753016E9, 0.0, 2023-10-24 14:19:06.875
9.0, -42251.07786072229, -41438.0331561605, -44540.924673190675, -59559.061772711495, -32933.84259150536, -11731.581298301375, -33260.42392974185, -19148.60536439483, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468784547E9, 0.0, 2023-10-24 14:19:06.878
10.0, -41829.3227945951, -44454.02109074844, -45810.07907510747, -59597.439717941255, -33331.41307013191, -14888.765202613498, -32572.079607496216, -18515.112223042517, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946882455E9, 0.0, 2023-10-24 14:19:06.882
11.0, -42593.730103222144, -49995.957314486186, -47413.88379500912, -60213.65496082961, -33179.60002179146, -20028.906468022644, -30698.064648874362, -16709.247733264892, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946886494E9, 0.0, 2023-10-24 14:19:06.886
12.0, -43093.51510924281, -47617.083503852315, -46302.10802580214, -60247.36139146822, -32755.54272598538, -17455.483073649775, -31179.632983163952, -17148.124235644846, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946890487E9, 0.0, 2023-10-24 14:19:06.890
13.0, -42463.151212114244, -41964.707310760896, -44640.12171508333, -59680.990538715196, -32862.27230575947, -12151.88350103897, -33079.75477930961, -18981.213150169035, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468956664E9, 0.0, 2023-10-24 14:19:06.895
14.0, -41856.52486759721, -43400.091636191806, -45481.86605952574, -59550.90338598531, -33291.71637197928, -13855.511111678019, -32903.623033001786, -18821.39817731359, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6981679468985023E9, 0.0, 2023-10-24 14:19:06.898
15.0, -42411.47397893357, -49418.58940346115, -47335.36211673762, -60099.728119340914, -33236.44050794131, -19575.635442213472, -30912.887264834317, -16906.09954668278, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946901504E9, 0.0, 2023-10-24 14:19:06.901
16.0, -43055.09246052414, -48532.387439297134, -46668.92250405819, -60264.63928993217, -32792.40075259218, -18402.705300176778, -30892.43541865771, -16859.272642048913, -0.296, -0.068, 0.7000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.698167946906584E9, 0.0, 2023-10-24 14:19:06.906
17.0, -42604.57069928297, -42686.55689794504, -44791.71124597922, -59767.26827231268, -32796.15584566067, -12835.466901715625, -32794.211243893056, -18688.98644316035, -0.34400000000000003, -0.082, 0.808, 192.0, 245.0, 64.0, 253.0, 112.0, 25.0, 64.0, 0.0, 0.0, 0.0, 1.698167946911547E9, 0.0, 2023-10-24 14:19:06.911
